id,secret,server,farm,title,isprimary,ispublic,isfriend,isfamily,license,dateupload,lastupdate,datetaken,datetakengranularity,datetakenunknown,ownername,iconserver,iconfarm,views,tags,machine_tags,originalsecret,originalformat,latitude,longitude,accuracy,context,media,media_status,url_sq,height_sq,width_sq,url_t,height_t,width_t,url_s,height_s,width_s,url_m,height_m,width_m,url_o,height_o,width_o,pathalias
41389261890,5be92d5f62,1790,2,IMG_0970,1,1,0,0,0,1530729854,1530729858,2018-04-07 14:41:57,0,0,daanvra,2833,3,0,,,2524241ed1,jpg,0,0,0,0,photo,ready,https://farm2.staticflickr.com/1790/41389261890_5be92d5f62_s.jpg,75,75,https://farm2.staticflickr.com/1790/41389261890_5be92d5f62_t.jpg,75,100,https://farm2.staticflickr.com/1790/41389261890_5be92d5f62_m.jpg,180,240,https://farm2.staticflickr.com/1790/41389261890_5be92d5f62.jpg,375,500,https://farm2.staticflickr.com/1790/41389261890_2524241ed1_o.jpg,2448,3264,
42295441205,e97024ab8d,1803,2,IMG_7979,0,1,0,0,0,1530729833,1530729839,2018-04-07 15:41:38,0,0,daanvra,2833,3,0,,,8f8dd68eb5,jpg,0,0,0,0,photo,ready,https://farm2.staticflickr.com/1803/42295441205_e97024ab8d_s.jpg,75,75,https://farm2.staticflickr.com/1803/42295441205_e97024ab8d_t.jpg,100,75,https://farm2.staticflickr.com/1803/42295441205_e97024ab8d_m.jpg,240,180,https://farm2.staticflickr.com/1803/42295441205_e97024ab8d.jpg,500,375,https://farm2.staticflickr.com/1803/42295441205_8f8dd68eb5_o.jpg,3024,4032,
41389244320,60a6f60d64,922,1,IMG_8486,0,1,0,0,0,1530729810,1530729815,2018-04-12 15:16:44,0,0,daanvra,2833,3,0,,,87eda07121,jpg,0,0,0,0,photo,ready,https://farm1.staticflickr.com/922/41389244320_60a6f60d64_s.jpg,75,75,https://farm1.staticflickr.com/922/41389244320_60a6f60d64_t.jpg,50,100,https://farm1.staticflickr.com/922/41389244320_60a6f60d64_m.jpg,120,240,https://farm1.staticflickr.com/922/41389244320_60a6f60d64.jpg,251,500,https://farm1.staticflickr.com/922/41389244320_87eda07121_o.jpg,3798,7562,
42295432355,7cb72d5f64,1767,2,IMG_0964,0,1,0,0,0,1530729796,1530729800,2018-04-07 12:49:50,0,0,daanvra,2833,3,0,,,0eee1c08f7,jpg,0,0,0,0,photo,ready,https://farm2.staticflickr.com/1767/42295432355_7cb72d5f64_s.jpg,75,75,https://farm2.staticflickr.com/1767/42295432355_7cb72d5f64_t.jpg,75,100,https://farm2.staticflickr.com/1767/42295432355_7cb72d5f64_m.jpg,180,240,https://farm2.staticflickr.com/1767/42295432355_7cb72d5f64.jpg,375,500,https://farm2.staticflickr.com/1767/42295432355_0eee1c08f7_o.jpg,2448,3264,
41389228820,804fce2c90,1763,2,IMG_7945,0,1,0,0,0,1530729773,1530729777,2018-04-07 14:45:49,0,0,daanvra,2833,3,0,,,c78af35ac7,jpg,0,0,0,0,photo,ready,https://farm2.staticflickr.com/1763/41389228820_804fce2c90_s.jpg,75,75,https://farm2.staticflickr.com/1763/41389228820_804fce2c90_t.jpg,75,100,https://farm2.staticflickr.com/1763/41389228820_804fce2c90_m.jpg,180,240,https://farm2.staticflickr.com/1763/41389228820_804fce2c90.jpg,375,500,https://farm2.staticflickr.com/1763/41389228820_c78af35ac7_o.jpg,3024,4032,
29328256648,d9d4063eac,1822,2,IMG_8337,0,1,0,0,0,1530729749,1530729755,2018-04-10 17:56:48,0,0,daanvra,2833,3,0,,,c272fd0de5,jpg,0,0,0,0,photo,ready,https://farm2.staticflickr.com/1822/29328256648_d9d4063eac_s.jpg,75,75,https://farm2.staticflickr.com/1822/29328256648_d9d4063eac_t.jpg,100,75,https://farm2.staticflickr.com/1822/29328256648_d9d4063eac_m.jpg,240,180,https://farm2.staticflickr.com/1822/29328256648_d9d4063eac.jpg,500,375,https://farm2.staticflickr.com/1822/29328256648_c272fd0de5_o.jpg,3024,4032,
41389218620,9a369d9663,1803,2,IMG_8451,0,1,0,0,0,1530729746,1530729750,2018-04-12 13:30:09,0,0,daanvra,2833,3,0,,,b7a862217a,jpg,0,0,0,0,photo,ready,https://farm2.staticflickr.com/1803/41389218620_9a369d9663_s.jpg,75,75,https://farm2.staticflickr.com/1803/41389218620_9a369d9663_t.jpg,100,75,https://farm2.staticflickr.com/1803/41389218620_9a369d9663_m.jpg,240,180,https://farm2.staticflickr.com/1803/41389218620_9a369d9663.jpg,500,375,https://farm2.staticflickr.com/1803/41389218620_b7a862217a_o.jpg,3024,4032,
28330253927,8bb6403700,1830,2,IMG_8349,0,1,0,0,0,1530729705,1530729723,2018-07-04 11:41:45,0,1,daanvra,2833,3,3,,,0601eb22c4,jpg,0,0,0,0,video,ready,https://farm2.staticflickr.com/1830/28330253927_8bb6403700_s.jpg,75,75,https://farm2.staticflickr.com/1830/28330253927_8bb6403700_t.jpg,75,100,https://farm2.staticflickr.com/1830/28330253927_8bb6403700_m.jpg,180,240,https://farm2.staticflickr.com/1830/28330253927_8bb6403700.jpg,375,500,https://farm2.staticflickr.com/1830/28330253927_0601eb22c4_o.jpg,1080,1440,
41389197320,c64f7cbdc4,926,1,IMG_8323,0,1,0,0,0,1530729692,1530729697,2018-04-10 17:41:13,0,0,daanvra,2833,3,0,,,8e01cba511,jpg,0,0,0,0,photo,ready,https://farm1.staticflickr.com/926/41389197320_c64f7cbdc4_s.jpg,75,75,https://farm1.staticflickr.com/926/41389197320_c64f7cbdc4_t.jpg,100,75,https://farm1.staticflickr.com/926/41389197320_c64f7cbdc4_m.jpg,240,180,https://farm1.staticflickr.com/926/41389197320_c64f7cbdc4.jpg,500,375,https://farm1.staticflickr.com/926/41389197320_8e01cba511_o.jpg,3024,4032,
43199723831,ca175e539c,1824,2,IMG_8407,0,1,0,0,0,1530729685,1530729702,2018-07-04 11:41:25,0,1,daanvra,2833,3,0,,,9a750391ca,jpg,0,0,0,0,video,ready,https://farm2.staticflickr.com/1824/43199723831_ca175e539c_s.jpg,75,75,https://farm2.staticflickr.com/1824/43199723831_ca175e539c_t.jpg,75,100,https://farm2.staticflickr.com/1824/43199723831_ca175e539c_m.jpg,180,240,https://farm2.staticflickr.com/1824/43199723831_ca175e539c.jpg,375,500,https://farm2.staticflickr.com/1824/43199723831_9a750391ca_o.jpg,1080,1440,
43150122922,1485a868ec,846,1,IMG_7986,0,1,0,0,0,1530729661,1530729666,2018-04-07 19:04:26,0,0,daanvra,2833,3,0,,,428ed13c3d,jpg,0,0,0,0,photo,ready,https://farm1.staticflickr.com/846/43150122922_1485a868ec_s.jpg,75,75,https://farm1.staticflickr.com/846/43150122922_1485a868ec_t.jpg,75,100,https://farm1.staticflickr.com/846/43150122922_1485a868ec_m.jpg,180,240,https://farm1.staticflickr.com/846/43150122922_1485a868ec.jpg,375,500,https://farm1.staticflickr.com/846/43150122922_428ed13c3d_o.jpg,3024,4032,
