id;secret;server;farm;title;isprimary;ispublic;isfriend;isfamily;url_o;height_o;width_o;url_m;height_m;width_m
40780411675;16a5a4b284;864;1;IMG_1208;1;1;0;0;https://farm1.staticflickr.com/864/40780411675_9203e875f1_o.jpg;2448;3264;https://farm1.staticflickr.com/864/40780411675_16a5a4b284.jpg;375;500
9468497000;0ae04ff519;3800;4;IMG_3909;0;1;0;0;https://farm4.staticflickr.com/3800/9468497000_6671467709_o.jpg;1392;3112;https://farm4.staticflickr.com/3800/9468497000_0ae04ff519.jpg;224;500
40960800074;315e2e2819;946;1;IMG_1203;0;1;0;0;https://farm1.staticflickr.com/946/40960800074_ee8e7d9fe9_o.jpg;2448;3264;https://farm1.staticflickr.com/946/40960800074_315e2e2819.jpg;375;500
41631290072;0ee1a69045;831;1;IMG_1205;0;1;0;0;https://farm1.staticflickr.com/831/41631290072_bdcaf0e0af_o.jpg;3264;2448;https://farm1.staticflickr.com/831/41631290072_0ee1a69045.jpg;500;375
40780412345;ea9650c07c;924;1;IMG_1206;0;1;0;0;https://farm1.staticflickr.com/924/40780412345_4757bf9244_o.jpg;2448;3264;https://farm1.staticflickr.com/924/40780412345_ea9650c07c.jpg;375;500
40780412145;9e5dbce6c4;900;1;IMG_1207;0;1;0;0;https://farm1.staticflickr.com/900/40780412145_6123404865_o.jpg;2448;3264;https://farm1.staticflickr.com/900/40780412145_9e5dbce6c4.jpg;375;500
40780411815;d581f2bbf6;906;1;IMG_1202;0;1;0;0;https://farm1.staticflickr.com/906/40780411815_e84f5191bd_o.jpg;2448;3264;https://farm1.staticflickr.com/906/40780411815_d581f2bbf6.jpg;375;500
40780411485;fb4a9108dd;838;1;IMG_1204;0;1;0;0;https://farm1.staticflickr.com/838/40780411485_7cc86073e0_o.jpg;2448;3264;https://farm1.staticflickr.com/838/40780411485_fb4a9108dd.jpg;375;500
39864492710;7f390d1f44;923;1;IMG_0949;0;1;0;0;https://farm1.staticflickr.com/923/39864492710_4b63be3e2f_o.jpg;3264;2448;https://farm1.staticflickr.com/923/39864492710_7f390d1f44.jpg;500;375
39864492610;d680b1bc72;843;1;IMG_0950;0;1;0;0;https://farm1.staticflickr.com/843/39864492610_fc90b0254a_o.jpg;2448;2448;https://farm1.staticflickr.com/843/39864492610_d680b1bc72.jpg;500;500
26804058147;3e2ea2d617;974;1;IMG_0951;0;1;0;0;https://farm1.staticflickr.com/974/26804058147_9e1f04c8ec_o.jpg;2448;3264;https://farm1.staticflickr.com/974/26804058147_3e2ea2d617.jpg;375;500
39864492430;b6c379bd21;895;1;IMG_0953;0;1;0;0;https://farm1.staticflickr.com/895/39864492430_04e9c52c59_o.jpg;2448;3264;https://farm1.staticflickr.com/895/39864492430_b6c379bd21.jpg;375;500
26804057547;a0953348f4;965;1;IMG_0957;0;1;0;0;https://farm1.staticflickr.com/965/26804057547_0e9acc19ff_o.jpg;2448;3264;https://farm1.staticflickr.com/965/26804057547_a0953348f4.jpg;375;500
40781353965;28b975b867;914;1;IMG_0959;0;1;0;0;https://farm1.staticflickr.com/914/40781353965_f356fa0dc2_o.jpg;2448;3264;https://farm1.staticflickr.com/914/40781353965_28b975b867.jpg;500;375
40781353725;a39a5348d3;868;1;IMG_0962;0;1;0;0;https://farm1.staticflickr.com/868/40781353725_298cc0a30d_o.jpg;2448;3264;https://farm1.staticflickr.com/868/40781353725_a39a5348d3.jpg;500;375
26804057387;fb25b604f3;875;1;IMG_0964;0;1;0;0;https://farm1.staticflickr.com/875/26804057387_8e4fe8d587_o.jpg;2448;3264;https://farm1.staticflickr.com/875/26804057387_fb25b604f3.jpg;375;500
39864491720;fb25b604f3;867;1;IMG_0965;0;1;0;0;https://farm1.staticflickr.com/867/39864491720_1ae6e6abbc_o.jpg;3264;2448;https://farm1.staticflickr.com/867/39864491720_fb25b604f3.jpg;500;375
39864491530;fce11921d8;863;1;IMG_0966;0;1;0;0;https://farm1.staticflickr.com/863/39864491530_ff4c8c8b35_o.jpg;3264;2448;https://farm1.staticflickr.com/863/39864491530_fce11921d8.jpg;500;375
39864491670;9569ff184f;948;1;IMG_0967;0;1;0;0;https://farm1.staticflickr.com/948/39864491670_4650d388d2_o.jpg;2448;3264;https://farm1.staticflickr.com/948/39864491670_9569ff184f.jpg;375;500
39864491440;56deccb77b;864;1;IMG_0968;0;1;0;0;https://farm1.staticflickr.com/864/39864491440_f2f56414a0_o.jpg;2448;3264;https://farm1.staticflickr.com/864/39864491440_56deccb77b.jpg;375;500
